Modelo,Horizonte,R2,R2_std,MAE,MAE_std,RMSE,RMSE_std,Tempo (s)
MLP,2,0.025646648614097777,0.6282264621355669,60.88058957812376,17.41091227244221,80.86398742431226,19.718513221451538,187.89812898635864
MLP,3,-0.0543661774891647,0.5355111215775372,64.27952655743063,13.809032309726375,86.29875325597298,17.782470324925367,323.7665059566498
MLP,4,-0.6661985013197025,1.5972901342402857,77.09444341539623,32.43627636367884,100.50561730751431,34.98648613311293,260.00982189178467
MLP,5,-0.29381666888737434,0.7706554215231506,70.92334680387712,17.774554838430532,94.63480971980883,23.37616574394639,398.42626690864563
MLP,6,-0.7775554357088008,1.4739590944265315,80.88574534573381,27.02389873527741,106.64963180080174,33.035851173819054,409.1673698425293
LSTM,1,0.44019151053481886,0.0,50.34547385135005,0.0,68.71635633762814,0.0,
LSTM,2,0.1727797612292724,0.0,60.436180737150444,0.0,83.5140871064752,0.0,
LSTM,3,0.10237822772179705,0.0,61.9440799528738,0.0,86.99345081620521,0.0,
LSTM,4,0.0635175304615948,0.0,64.57652788102826,0.0,88.86726895168218,0.0,
LSTM,5,-0.035466293854727216,0.0,68.56002802496732,0.0,93.44584400783982,0.0,
LSTM,6,-0.07414517508468976,0.0,69.43188742602057,0.0,95.18656376618692,0.0,
GRU,1,0.38933956034369277,0.0,51.694931093576805,0.0,71.76955873194592,0.0,178.7680160999298
GRU,2,0.17884971498031643,0.0,60.74512507601906,0.0,83.20711927729407,0.0,177.64583778381348
GRU,3,0.07719634098588468,0.0,64.50395729452546,0.0,88.2052679245001,0.0,178.92427492141724
GRU,4,0.06386542188794198,0.0,64.80480937036715,0.0,88.85076088360225,0.0,179.34080982208252
GRU,5,0.023452025337242777,0.0,67.07840241546339,0.0,90.74836299115674,0.0,177.4454460144043
GRU,6,-0.1631265482618598,0.0,72.90129428905801,0.0,99.05072127564222,0.0,175.9621078968048
TCN,1,0.552084159554546,0.0,44.53796624889127,0.0,61.466515470681635,0.0,487.22820115089417
TCN,2,0.36857863073478836,0.0,53.70495309539984,0.0,72.96402783889074,0.0,552.3878428936005
TCN,3,0.2783456826079429,0.0,56.530009407344586,0.0,78.00177339693808,0.0,450.69906306266785
TCN,4,0.2657863153324662,0.0,58.30638602324239,0.0,78.687046623138,0.0,523.9130961894989
TCN,5,0.25761017268558706,0.0,59.78388646461067,0.0,79.12395984316133,0.0,489.58388113975525
TCN,6,0.16562435833891354,0.0,62.81894815581297,0.0,83.89285350360532,0.0,493.8280940055847
Transformer,1,0.29739229887887275,0.0,54.326252650973295,0.0,76.98335530895154,0.0,1773.375363111496
Transformer,2,0.1806895412542645,0.0,59.08506958826975,0.0,83.1138522513337,0.0,1704.140820980072
Transformer,3,0.08990451795014431,0.0,62.33617456728294,0.0,87.5958131952831,0.0,1551.6790699958801
Transformer,4,0.009885257670359526,0.0,66.61018135558133,0.0,91.37655302002742,0.0,1352.0419099330902
Transformer,5,-0.040218184712002225,0.0,67.77470381734217,0.0,93.6600162003361,0.0,1550.3418180942535
Transformer,6,-0.000823804282562346,0.0,66.17128935137767,0.0,91.88041989577383,0.0,1418.3563508987427
