Modelo,Horizonte,R2,R2_std,MAE,MAE_std,RMSE,RMSE_std,Tempo (s)
LightGBM,3,0.041415660810573796,0.0,177.29363656151654,0.0,230.23060124856678,0.0,0.13815712928771973
LightGBM,4,-0.03458872028171833,0.0,183.47379800123286,0.0,239.18379510455364,0.0,0.10553216934204102
LightGBM,5,-0.1611003868970069,0.0,197.48187373012095,0.0,253.3860887450754,0.0,0.12830209732055664
LightGBM,6,-0.18165572345531067,0.0,198.20866424251014,0.0,255.61913704480676,0.0,0.11837100982666016
MLP,1,0.38117182245292314,0.0751344294702435,139.74465648084274,6.440098409316532,194.49932348494775,9.787601182000603,74.85713386535645
MLP,2,0.19123738643839022,0.12770180950610688,163.51955604433115,9.128646219550335,222.28337086066,17.772608290544987,84.0578019618988
MLP,3,0.05409940990905526,0.1722367388428859,181.48611203946714,14.651876500720128,240.29920956668002,22.910351180547295,107.01026678085327
MLP,4,-0.07105954304531004,0.20347914023231237,196.57268648323165,20.997593440825657,255.03428606381402,20.049132716160827,72.78228807449341
MLP,5,-0.14642769514205772,0.23445718354178208,205.15421973583025,25.858396906827718,263.6249828456164,22.461175012491193,98.10907006263733
MLP,6,-0.2708042705680856,0.4240211185430883,215.60656153873168,41.14579935823237,275.53210292384637,42.16444501962336,137.81485104560852
LSTM,1,0.20269502405759132,0.0,147.8613038114108,0.0,209.95490587218282,0.0,
LSTM,2,-0.030712863788484368,0.0,168.49600363725204,0.0,238.7166096654006,0.0,
LSTM,3,-0.14582106489779756,0.0,184.2083544009998,0.0,251.71336991367224,0.0,
LSTM,4,-0.26611711209607747,0.0,189.45360642357616,0.0,264.5969429321334,0.0,
LSTM,5,-0.36674444544124385,0.0,203.98455621989802,0.0,274.910635463999,0.0,
LSTM,6,-0.4042089703155738,0.0,208.4923730415356,0.0,278.65302014262045,0.0,
GRU,1,0.22263550684642985,0.0,142.86183734062035,0.0,207.3128106652419,0.0,52.79258322715759
GRU,2,-0.11139057260292984,0.0,177.82314046917608,0.0,247.8832285493881,0.0,49.97644114494324
GRU,3,-0.1678556883455038,0.0,184.38850908711444,0.0,254.12212198299622,0.0,49.50165772438049
GRU,4,-0.3322398980198804,0.0,196.64486548889158,0.0,271.4182842651667,0.0,50.640661001205444
GRU,5,-0.4297266075394126,0.0,204.67868685003992,0.0,281.17349725936884,0.0,52.934722900390625
GRU,6,-0.5767766794247382,0.0,218.43342354604087,0.0,295.2792825564382,0.0,54.38350486755371
TCN,1,0.3559391457469686,0.0,136.0443330161504,0.0,188.70232083803842,0.0,156.27488780021667
TCN,2,0.20684815289568403,0.0,157.79144273661396,0.0,209.40736868040378,0.0,162.83062386512756
TCN,3,-0.12214201543714731,0.0,187.94378123639888,0.0,249.0988913976695,0.0,136.81469011306763
TCN,4,-0.18834550496051672,0.0,195.9761034841517,0.0,256.34169213622744,0.0,113.87271499633789
TCN,5,-0.23992283660713754,0.0,204.75787763114326,0.0,261.84555890162056,0.0,114.28859114646912
TCN,6,-0.28575828387672875,0.0,205.64609031838802,0.0,266.64138007621654,0.0,112.0279769897461
Transformer,1,0.272239368356044,0.0,143.2691973715518,0.0,200.5894414300918,0.0,360.3107419013977
Transformer,2,-0.19790243257930373,0.0,183.26031040946143,0.0,257.3502017874693,0.0,359.9927701950073
Transformer,3,-0.19492044173445167,0.0,189.4115397250628,0.0,257.0498639306572,0.0,355.02911901474
Transformer,4,-0.2874377427159167,0.0,193.9045870023272,0.0,266.8154668739359,0.0,361.347620010376
Transformer,5,-0.41153057738662513,0.0,216.0847686194317,0.0,279.37853018743743,0.0,350.7280297279358
Transformer,6,-0.6287586074845162,0.0,223.7800656522042,0.0,300.1070824974299,0.0,352.7697410583496
