Modelo,R2,MAE,RMSE
Random Forest,0.5601843485962856,43.53170084378637,60.90819410658602
Gradient Boosting,0.5664302433436348,43.38800866533728,60.47416399835916
XGBoost,0.5724058176761722,42.90173163566024,60.05598257699555
LightGBM,0.5665098795360974,43.38134724296931,60.46860992862542
